status,variant,preset,M,N,throughput_tps,throughput_e2e_tps,points_per_s,loop_ms,total_ms,med_loss_fp64,K_max,n_dropped,frac_converged,frac_failed,skip_reason,est_footprint_gb
ok,ad,early-gen,1000,100,29395.3,2153.3,2939525,30.277,413.318,0.0242528,11,110,0.775,0.012,,
ok,ad,early-gen,1000,1000,10368.9,2083.8,10368879,85.448,425.194,0.187215,13,114,0.774,0.018,,
ok,ad,early-gen,1000,10000,1201.7,785.5,12017234,719.800,1101.202,1.82568,10,135,0.769,0.016,,
ok,ad,early-gen,4000,100,89451.6,8982.4,8945164,40.089,399.226,0.0218995,11,414,0.778,0.018,,
ok,ad,early-gen,4000,1000,30388.1,7581.6,30388060,117.250,469.954,0.181586,13,437,0.803,0.013,,
ok,ad,early-gen,4000,10000,3489.3,2419.6,34893074,1027.998,1482.450,1.99616,12,413,0.802,0.016,,
ok,ad,early-gen,16000,100,153995.4,32640.2,15399544,92.542,436.609,0.019583,13,1749,0.789,0.015,,
ok,ad,early-gen,16000,1000,51149.2,21163.6,51149220,279.359,675.168,0.179563,13,1711,0.793,0.016,,
ok,ad,early-gen,16000,10000,5740.4,4593.8,57403636,2487.996,3108.992,2.04,12,1718,0.797,0.016,,
ok,ad,early-gen,64000,100,224943.4,91347.0,22494341,253.108,623.282,0.0201135,13,7065,0.788,0.015,,
ok,ad,early-gen,64000,1000,69343.7,43462.6,69343665,821.171,1310.162,0.191428,13,7057,0.792,0.015,,
ok,ad,early-gen,256000,100,330338.5,192807.9,33033845,689.399,1181.150,0.0201559,13,28265,0.789,0.015,,
ok,ad,early-gen,256000,1000,67795.4,54123.6,67795361,3363.622,4213.285,0.195404,14,27962,0.786,0.016,,
ok,ad,inner-const-heavy,1000,100,28954.1,2499.1,2895414,34.192,396.149,0.764569,13,10,0.681,0.045,,
ok,ad,inner-const-heavy,1000,1000,9344.6,2201.7,9344601,105.730,448.751,11.312,13,12,0.679,0.054,,
ok,ad,inner-const-heavy,1000,10000,1053.4,748.3,10533779,936.986,1318.962,37.3233,12,13,0.668,0.063,,
ok,ad,inner-const-heavy,4000,100,54075.8,8627.4,5407579,73.101,458.192,0.546392,13,47,0.674,0.053,,
ok,ad,inner-const-heavy,4000,1000,18454.2,6931.8,18454189,214.260,570.416,4.92687,13,46,0.671,0.049,,
ok,ad,inner-const-heavy,4000,10000,2109.9,1723.4,21098749,1878.784,2300.051,42.2612,12,36,0.687,0.056,,
ok,ad,inner-const-heavy,16000,100,135642.5,33923.9,13564247,116.800,467.016,0.53363,13,157,0.666,0.055,,
ok,ad,inner-const-heavy,16000,1000,24662.3,15907.4,24662252,642.439,996.013,4.90455,13,156,0.667,0.054,,
ok,ad,inner-const-heavy,16000,10000,2337.4,2132.6,23374322,6776.667,7427.433,57.126,13,160,0.674,0.058,,
ok,ad,inner-const-heavy,64000,100,133080.0,73319.8,13308001,476.232,864.391,0.451851,13,623,0.672,0.052,,
ok,ad,inner-const-heavy,64000,1000,26008.0,20763.5,26007985,2438.713,3054.690,5.13184,13,574,0.668,0.053,,
ok,ad,inner-const-heavy,256000,100,166924.0,125501.8,16692397,1518.673,2019.915,0.426124,13,2497,0.671,0.053,,
ok,ad,inner-const-heavy,256000,1000,24397.2,22528.9,24397240,10386.872,11248.239,5.05912,13,2589,0.667,0.052,,
ok,ad,late-gen-bloated,1000,100,29879.2,1700.3,2987916,23.428,411.694,0.318286,7,300,0.621,0.057,,
ok,ad,late-gen-bloated,1000,1000,10377.4,1613.4,10377417,67.358,433.243,4.95091,6,301,0.630,0.047,,
ok,ad,late-gen-bloated,1000,10000,1446.4,807.6,14463861,481.891,863.015,43.1473,7,303,0.631,0.043,,
ok,ad,late-gen-bloated,4000,100,87886.8,6529.8,8788684,31.256,420.690,0.320421,7,1253,0.616,0.053,,
ok,ad,late-gen-bloated,4000,1000,31649.2,6399.2,31649221,88.407,437.239,4.31582,8,1202,0.623,0.053,,
ok,ad,late-gen-bloated,4000,10000,3791.6,2303.4,37915516,733.473,1207.368,43.9769,7,1219,0.615,0.057,,
ok,ad,late-gen-bloated,16000,100,157658.4,25540.5,15765836,70.272,433.781,0.321513,7,4921,0.619,0.053,,
ok,ad,late-gen-bloated,16000,1000,46279.0,18095.5,46278987,239.374,612.195,3.90357,8,4922,0.615,0.052,,
ok,ad,late-gen-bloated,16000,10000,4892.8,3777.7,48927794,2249.642,2913.688,42.3499,7,4993,0.604,0.058,,
ok,ad,late-gen-bloated,64000,100,220034.4,75756.1,22003444,200.914,583.557,0.32609,7,19792,0.616,0.054,,
ok,ad,late-gen-bloated,64000,1000,54719.1,34418.8,54719058,811.180,1289.614,3.76304,8,19613,0.615,0.054,,
ok,ad,late-gen-bloated,64000,10000,5423.4,4358.7,54234223,8183.025,10181.886,40.561,8,19620,0.613,0.054,,
ok,ad,late-gen-bloated,256000,100,326181.2,183382.3,32618123,543.845,967.334,0.326592,8,78608,0.619,0.054,,
ok,ad,late-gen-bloated,256000,1000,50384.7,40233.7,50384695,3517.497,4404.961,3.79065,8,78772,0.615,0.054,,
ok,fusedfd,early-gen,1000,100,23243.1,2209.7,2324312,38.291,402.765,0.0233662,11,110,0.810,0.021,,
ok,fusedfd,early-gen,1000,1000,5598.0,1172.8,5598025,158.270,755.469,0.188492,13,114,0.795,0.024,,
ok,fusedfd,early-gen,1000,10000,622.1,484.8,6220665,1390.526,1784.189,1.81158,10,135,0.771,0.025,,
ok,fusedfd,early-gen,4000,100,79292.4,8445.8,7929243,45.225,424.589,0.0219956,11,414,0.801,0.024,,
ok,fusedfd,early-gen,4000,1000,18634.1,6512.3,18634122,190.242,544.352,0.181176,13,455,0.804,0.020,,
ok,fusedfd,early-gen,4000,10000,1921.3,1384.0,19213454,1866.921,2591.760,2.00425,12,413,0.811,0.024,,
ok,fusedfd,early-gen,16000,100,141959.5,17193.8,14195953,100.219,827.452,0.0195106,13,1773,0.801,0.022,,
ok,fusedfd,early-gen,16000,1000,36557.7,18348.5,36557697,390.862,778.754,0.181216,13,1711,0.808,0.021,,
ok,fusedfd,early-gen,16000,10000,4123.7,3507.2,41236969,3463.397,4072.225,2.03928,12,1718,0.803,0.027,,
ok,fusedfd,early-gen,64000,100,266569.1,99300.2,26656909,213.584,573.362,0.0201366,13,7065,0.802,0.022,,
