status,variant,preset,M,N,throughput_tps,throughput_e2e_tps,points_per_s,loop_ms,total_ms,med_loss_fp64,K_max,n_dropped,frac_converged,frac_failed,skip_reason,est_footprint_gb
ok,ad,early-gen,1000,100,34335.2,2885.0,3433523,25.921,308.497,0.0242528,11,110,0.775,0.012,,
ok,ad,early-gen,1000,1000,10408.0,2341.3,10408028,85.127,378.425,0.187215,13,114,0.774,0.018,,
ok,ad,early-gen,1000,10000,1194.6,813.6,11945729,724.108,1063.221,1.82568,10,135,0.769,0.016,,
ok,ad,early-gen,4000,100,100694.7,10804.8,10069470,35.613,331.889,0.0218995,11,414,0.778,0.018,,
ok,ad,early-gen,4000,1000,30481.7,8326.6,30481702,116.890,427.908,0.181586,13,437,0.803,0.013,,
ok,ad,early-gen,4000,10000,3485.5,2533.1,34854700,1029.130,1416.057,1.99616,12,413,0.802,0.016,,
ok,ad,early-gen,16000,100,154277.2,35768.2,15427718,92.373,398.427,0.019583,13,1749,0.789,0.015,,
ok,ad,early-gen,16000,1000,51655.4,23495.6,51655384,276.622,608.155,0.179563,13,1711,0.795,0.015,,
ok,ad,early-gen,16000,10000,5740.7,4610.8,57406970,2487.851,3097.494,2.04,12,1718,0.797,0.016,,
ok,ad,early-gen,64000,100,220315.4,96869.4,22031542,258.897,588.824,0.0201135,13,6961,0.789,0.015,,
ok,ad,early-gen,64000,1000,69429.9,46245.9,69429889,820.151,1231.308,0.191428,13,7057,0.792,0.015,,
ok,ad,early-gen,256000,100,326568.4,209885.4,32656837,698.175,1086.317,0.0201559,13,27998,0.789,0.015,,
ok,ad,early-gen,256000,1000,67780.0,54841.5,67780003,3365.948,4160.057,0.195404,14,27856,0.790,0.015,,
ok,ad,inner-const-heavy,1000,100,33361.2,3045.3,3336119,29.675,325.087,0.764569,13,10,0.673,0.061,,
ok,ad,inner-const-heavy,1000,1000,9569.9,2467.9,9569944,103.135,399.931,11.312,13,13,0.645,0.060,,
ok,ad,inner-const-heavy,1000,10000,1052.2,774.8,10521844,938.048,1273.913,37.3233,12,13,0.668,0.063,,
ok,ad,inner-const-heavy,4000,100,61148.9,10933.2,6114888,64.645,361.560,0.546392,13,47,0.674,0.053,,
ok,ad,inner-const-heavy,4000,1000,18496.3,7408.9,18496327,214.042,534.354,4.92687,13,41,0.671,0.057,,
ok,ad,inner-const-heavy,4000,10000,2112.9,1675.0,21128930,1875.627,2365.963,42.2612,12,37,0.676,0.052,,
ok,ad,inner-const-heavy,16000,100,109398.7,35271.9,10939871,144.956,449.594,0.53363,13,142,0.671,0.053,,
ok,ad,inner-const-heavy,16000,1000,23600.3,15502.5,23600251,671.349,1022.032,4.90455,13,156,0.667,0.054,,
ok,ad,inner-const-heavy,16000,10000,2335.6,2141.6,23355750,6782.056,7396.341,57.126,13,160,0.674,0.058,,
ok,ad,inner-const-heavy,64000,100,131922.4,77055.8,13192240,480.411,822.482,0.451851,13,623,0.672,0.052,,
ok,ad,inner-const-heavy,64000,1000,25893.8,21195.1,25893819,2449.465,2992.478,5.13184,13,574,0.668,0.053,,
ok,ad,inner-const-heavy,256000,100,178167.8,139735.1,17816784,1423.405,1814.899,0.426124,13,2395,0.670,0.055,,
ok,ad,inner-const-heavy,256000,1000,24408.9,21910.4,24408873,10381.921,11565.793,5.05912,13,2589,0.667,0.052,,
ok,ad,late-gen-bloated,1000,100,34471.7,2252.9,3447172,20.306,310.706,0.318286,7,300,0.621,0.057,,
ok,ad,late-gen-bloated,1000,1000,12012.0,2004.2,12012002,58.358,349.764,4.95091,6,299,0.619,0.051,,
ok,ad,late-gen-bloated,1000,10000,1438.6,856.3,14385704,484.509,813.960,43.1473,7,303,0.631,0.043,,
ok,ad,late-gen-bloated,4000,100,103025.5,8552.7,10302553,26.673,321.300,0.320421,7,1252,0.609,0.057,,
ok,ad,late-gen-bloated,4000,1000,31843.9,6992.1,31843944,87.866,400.167,4.31582,8,1202,0.623,0.053,,
ok,ad,late-gen-bloated,4000,10000,3799.6,2475.3,37996491,731.910,1123.492,43.9769,7,1219,0.615,0.057,,
ok,ad,late-gen-bloated,16000,100,178414.7,27757.4,17841470,62.097,399.137,0.321513,7,4921,0.619,0.053,,
ok,ad,late-gen-bloated,16000,1000,46179.0,19913.3,46179037,239.892,556.312,3.90357,8,4922,0.615,0.052,,
ok,ad,late-gen-bloated,16000,10000,4882.9,3770.8,48828768,2254.204,2918.984,42.3499,7,4993,0.604,0.058,,
ok,ad,late-gen-bloated,64000,100,216659.6,80787.5,21665958,204.044,547.213,0.32609,7,19792,0.616,0.054,,
ok,ad,late-gen-bloated,64000,1000,54873.5,35925.3,54873455,809.827,1236.954,3.76304,8,19562,0.619,0.053,,
ok,ad,late-gen-bloated,64000,10000,5435.6,4489.7,54356379,8164.635,9884.879,40.561,8,19620,0.613,0.054,,
ok,ad,late-gen-bloated,256000,100,241319.4,149304.8,24131939,735.092,1188.120,0.326592,8,78608,0.619,0.054,,
ok,ad,late-gen-bloated,256000,1000,52961.6,42624.2,52961622,3348.689,4160.834,3.79065,8,78648,0.616,0.054,,
ok,fusedfd,early-gen,1000,100,26367.7,2716.0,2636771,33.753,327.684,0.0233662,11,110,0.810,0.021,,
ok,fusedfd,early-gen,1000,1000,5503.5,1218.8,5503458,160.990,726.973,0.188492,13,114,0.795,0.024,,
ok,fusedfd,early-gen,1000,10000,621.7,495.1,6216866,1391.376,1747.086,1.81158,10,135,0.771,0.025,,
ok,fusedfd,early-gen,4000,100,81424.9,10836.7,8142487,44.041,330.913,0.0219956,11,414,0.801,0.024,,
ok,fusedfd,early-gen,4000,1000,19089.8,7510.0,19089786,185.701,472.035,0.181176,13,455,0.804,0.020,,
ok,fusedfd,early-gen,4000,10000,1929.1,1596.2,19291141,1855.774,2242.881,2.00425,12,420,0.806,0.031,,
ok,fusedfd,early-gen,16000,100,180629.4,39296.8,18062935,78.763,362.039,0.0195106,13,1773,0.801,0.022,,
ok,fusedfd,early-gen,16000,1000,38710.8,20250.3,38710810,369.122,705.619,0.181216,13,1711,0.808,0.021,,
ok,fusedfd,early-gen,16000,10000,2997.3,2575.1,29972646,4728.311,5503.533,2.03928,12,1828,0.799,0.025,,
ok,fusedfd,early-gen,64000,100,196236.1,90178.7,19623608,289.671,630.348,0.0201366,13,7156,0.801,0.022,,
ok,fusedfd,early-gen,64000,1000,49664.4,36075.1,49664433,1145.911,1577.570,0.193631,13,7089,0.800,0.021,,
ok,fusedfd,early-gen,256000,100,275093.8,180512.8,27509377,827.845,1261.600,0.0202114,13,28265,0.803,0.022,,
ok,fusedfd,early-gen,256000,1000,58882.2,49301.3,58882176,3874.585,4627.545,0.196701,14,27856,0.805,0.021,,
ok,fusedfd,inner-const-heavy,1000,100,24887.6,2917.5,2488763,39.779,339.328,0.669247,13,10,0.735,0.066,,
ok,fusedfd,inner-const-heavy,1000,1000,5200.4,2038.7,5200422,189.792,484.124,9.83977,13,13,0.727,0.081,,
ok,fusedfd,inner-const-heavy,1000,10000,534.8,454.7,5348266,1845.458,2170.608,35.7073,12,13,0.706,0.098,,
ok,fusedfd,inner-const-heavy,4000,100,63059.2,10991.4,6305924,62.719,359.825,0.542136,13,45,0.721,0.078,,
ok,fusedfd,inner-const-heavy,4000,1000,13937.3,6718.6,13937272,284.417,590.007,5.02004,13,36,0.748,0.078,,
ok,fusedfd,inner-const-heavy,4000,10000,1536.3,1313.0,15362505,2579.657,3018.252,41.5564,12,37,0.732,0.086,,
ok,fusedfd,inner-const-heavy,16000,100,93978.7,33699.0,9397867,168.581,470.132,0.541647,13,157,0.719,0.084,,
ok,fusedfd,inner-const-heavy,16000,1000,18217.2,12907.1,18217241,870.000,1227.929,5.05446,13,151,0.747,0.078,,
ok,fusedfd,inner-const-heavy,16000,10000,1956.2,1812.7,19561532,8097.525,8738.517,56.5146,13,160,0.726,0.101,,
ok,fusedfd,inner-const-heavy,64000,100,137864.2,82622.5,13786417,459.924,767.430,0.482254,13,593,0.725,0.084,,
ok,fusedfd,inner-const-heavy,64000,1000,20467.2,17311.7,20467189,3098.911,3663.760,5.48077,13,574,0.742,0.078,,
ok,fusedfd,inner-const-heavy,256000,100,143267.6,117203.9,14326765,1770.148,2163.794,0.452477,13,2395,0.724,0.084,,
ok,fusedfd,inner-const-heavy,256000,1000,21296.6,19918.4,21296606,11907.719,12731.667,5.40267,13,2406,0.741,0.078,,
ok,fusedfd,late-gen-bloated,1000,100,29563.8,2088.6,2956381,23.678,335.146,0.318286,7,300,0.624,0.058,,
ok,fusedfd,late-gen-bloated,1000,1000,8057.6,1742.5,8057626,86.502,399.992,4.95091,6,303,0.616,0.051,,
