dataset,cap,gen,mean_K,mean_nodes,K_max,max_nodes
korns/11,32,0,1.731,6.931,7,15
korns/11,32,1,1.803,6.426,10,28
korns/11,32,2,1.927,6.373,13,32
korns/11,32,4,3.075,8.696,13,32
korns/11,32,8,6.496,17.308,16,32
korns/11,32,16,7.996,24.872,16,32
korns/11,32,32,7.566,26.899,14,32
korns/11,32,64,6.000,27.580,12,32
korns/11,32,100,6.279,27.480,13,32
korns/11,64,0,1.731,6.931,7,15
korns/11,64,1,1.803,6.426,10,28
korns/11,64,2,1.928,6.375,14,36
korns/11,64,4,3.098,8.806,18,59
korns/11,64,8,6.998,18.885,26,64
korns/11,64,16,13.953,43.461,28,64
korns/11,64,32,15.239,51.744,27,64
korns/11,64,64,13.999,56.474,21,64
korns/11,64,100,12.714,57.330,22,64
korns/12,32,0,1.731,6.931,7,15
korns/12,32,1,1.613,5.823,10,27
korns/12,32,2,1.562,4.838,10,29
korns/12,32,4,1.830,4.479,11,32
korns/12,32,8,1.259,2.351,10,25
korns/12,32,16,1.846,4.287,14,32
korns/12,32,32,6.014,18.752,14,32
korns/12,32,64,5.051,22.410,11,32
korns/12,32,100,4.665,22.436,11,32
korns/12,64,0,1.731,6.931,7,15
korns/12,64,1,1.613,5.823,10,27
korns/12,64,2,1.562,4.838,10,29
korns/12,64,4,1.830,4.479,13,33
korns/12,64,8,1.259,2.351,10,25
korns/12,64,16,1.896,4.446,16,53
korns/12,64,32,10.406,33.823,26,64
korns/12,64,64,11.757,44.749,24,64
korns/12,64,100,12.286,47.151,26,64
