corpus,problem,cap,gen,mean_K,mean_nodes,K_max
operon,feynman/I.12.1,32,0,6.505,23.193,15
operon,feynman/I.12.1,32,1,5.84,20.067,15
operon,feynman/I.12.1,32,2,6.136,20.471,15
operon,feynman/I.12.1,32,4,7.78,26.213,16
operon,feynman/I.12.1,32,8,6.002,20.033,16
operon,feynman/I.12.1,32,16,6.953,23.707,16
operon,feynman/I.12.1,32,32,7.379,25.62,16
operon,feynman/I.12.1,32,64,6.044,21.233,16
operon,feynman/I.12.1,32,100,6.667,22.85,16
evogp,feynman/I.12.1,32,0,1.715,6.955,7
evogp,feynman/I.12.1,32,1,1.424,5.705,9
evogp,feynman/I.12.1,32,2,1.575,7.132,11
evogp,feynman/I.12.1,32,4,2.042,10.338,9
evogp,feynman/I.12.1,32,8,2.457,16.117,12
evogp,feynman/I.12.1,32,16,2.542,22.253,11
evogp,feynman/I.12.1,32,32,2.746,21.403,11
evogp,feynman/I.12.1,32,64,1.089,26.621,7
evogp,feynman/I.12.1,32,100,1.029,26.649,7
operon,feynman/I.18.12,32,0,6.505,23.193,15
operon,feynman/I.18.12,32,1,6.13,21.719,15
operon,feynman/I.18.12,32,2,5.818,20.152,15
operon,feynman/I.18.12,32,4,5.931,20.417,15
operon,feynman/I.18.12,32,8,6.626,23.707,14
operon,feynman/I.18.12,32,16,9.108,32.933,15
operon,feynman/I.18.12,32,32,9.411,32.823,15
operon,feynman/I.18.12,32,64,10.198,34.599,15
operon,feynman/I.18.12,32,100,10.172,34.923,15
evogp,feynman/I.18.12,32,0,1.715,6.955,7
evogp,feynman/I.18.12,32,1,1.565,5.693,10
evogp,feynman/I.18.12,32,2,1.762,6.179,8
evogp,feynman/I.18.12,32,4,2.449,9.998,10
evogp,feynman/I.18.12,32,8,3.364,18.096,10
evogp,feynman/I.18.12,32,16,3.595,22.237,10
evogp,feynman/I.18.12,32,32,2.977,21.14,9
evogp,feynman/I.18.12,32,64,3.086,21.156,10
evogp,feynman/I.18.12,32,100,3.185,21.314,11
operon,feynman/I.27.6,32,0,6.505,23.193,15
operon,feynman/I.27.6,32,1,5.83,20.013,15
operon,feynman/I.27.6,32,2,5.593,18.714,15
operon,feynman/I.27.6,32,4,7.644,26.147,16
operon,feynman/I.27.6,32,8,9.901,34.448,16
operon,feynman/I.27.6,32,16,10.993,37.975,16
operon,feynman/I.27.6,32,32,10.734,37.91,16
operon,feynman/I.27.6,32,64,10.503,40.338,16
operon,feynman/I.27.6,32,100,10.548,44.524,15
evogp,feynman/I.27.6,32,0,1.715,6.955,7
evogp,feynman/I.27.6,32,1,1.73,6.542,11
evogp,feynman/I.27.6,32,2,1.867,6.772,10
evogp,feynman/I.27.6,32,4,2.027,7.903,10
evogp,feynman/I.27.6,32,8,3.173,15.226,11
evogp,feynman/I.27.6,32,16,5.149,24.468,11
evogp,feynman/I.27.6,32,32,5.652,26.674,10
evogp,feynman/I.27.6,32,64,5.255,27.735,8
evogp,feynman/I.27.6,32,100,5.122,27.897,9
operon,feynman/I.6.2,32,0,6.505,23.193,15
operon,feynman/I.6.2,32,1,6.054,21.152,15
