variant,point,M,tps_med,tps_p10,tps_p90,t_med_s,sm_clock_mhz,n
baseline,real1000,1000,807.1,701.8,888.9,1.239,1410,7
baseline,synth1000,1000,787.4,726.2,900.1,1.270,1410,7
baseline,synth4000,4000,1548.0,1265.8,1664.6,2.584,1410,7
baseline,synth16000,16000,1390.0,993.9,1581.7,11.511,1410,7
baseline,synth64000,64000,1276.6,1029.1,1636.4,50.134,1410,7
devjac,real1000,1000,1362.4,1044.9,1834.9,0.734,1410,7
devjac,synth1000,1000,1293.7,1077.6,1757.5,0.773,1410,7
devjac,synth4000,4000,4301.1,4016.1,6106.9,0.930,1410,7
devjac,synth16000,16000,12789.8,10745.5,14247.6,1.251,1410,7
devjac,synth64000,64000,21404.7,18879.1,22670.9,2.990,1410,7
devjac,synth256000,256000,24383.3,21052.6,25777.9,10.499,1410,7
fusedfd,real1000,1000,1434.7,1152.1,1776.2,0.697,1410,7
fusedfd,synth1000,1000,1400.6,1081.1,1712.3,0.714,1410,7
fusedfd,synth4000,4000,4884.0,4296.5,7590.1,0.819,1410,7
fusedfd,synth16000,16000,17372.4,14427.4,20565.6,0.921,1410,7
fusedfd,synth64000,64000,36550.5,33755.3,38438.4,1.751,1410,7
fusedfd,synth256000,256000,50393.7,46869.3,51509.1,5.080,1410,7
